weight,AppName,Cores,DataSize,SchedulerDelay,MeanWaveTime,GCTime,TaskDeserializationTime,Stragglers,ExecutorRunTime,SDIncrease,MWTIncrease,GCIncrease,TDTIncrease,StragglerIncrease,ERTIncrease,Label,memUtil,commit,cpuUtil
1000,Mm,5,1,0.002046667,0.523809524,0.001546667,0.533333333,0.088866667,0.087533333,1,1,1,1,1,1,0,0.5,0.12,0.63
1000,Lr,5,1,0.003003333,0.03247619,0.00051,0.004333333,0.055333333,0.031266667,1,1,1,1,1,1,0,0.55,0.15,0.61
1000,Wc,5,1,0.005206667,3.516666667,1.309,0.7,4.5,3.706666667,1,1,1,1,1,1,0,0.98,0.41,0.61
1000,Q26,5,1,0.002536667,0.255,0.00564,0.106333333,0.255,0.2072,1,1,1,1,1,1,0,0.53,0.2,0.6
1000,Q9,5,1,0.003676667,0.223666667,0.004666667,0.024666667,0.3,0.2317,1,1,1,1,1,1,0,0.45,0.17,0.61
1000,Q70,5,1,0.002786667,0.232666667,0.00496,0.009333333,0.277666667,0.228333333,1,1,1,1,1,1,0,0.49,0.19,0.65
1000,Q52,5,1,0.00101,0.222,0.005616667,0.006666667,0.299533333,0.229,1,1,1,1,1,1,0,0.7,0.19,0.64
1000,Q15,5,1,0.002563333,0.213666667,0.005093333,0.013,0.249666667,0.201333333,1,1,1,1,1,1,0,0.78,0.21,0.64
1000,Q78,5,1,0.00223,0.432666667,0.0052,0.002666667,0.288666667,0.0898,1,1,1,1,1,1,0,0.96,0.25,0.64
1000,Q64,5,1,0.00332,0.230666667,0.00467,0.004,0.288666667,0.230666667,1,1,1,1,1,1,0,0.86,0.22,0.61
1000,Nb,5,1,0.00385,1.15,0.0122,0.6,1.2,1.05,1,1,1,1,1,1,0,0.96,0.25,0.62
1000,Co,5,1,0.014,0.241,0.0166,0.5,0.266,0.225,1,1,1,1,1,1,0,0.33,0.17,0.64
1000,So,5,1,0.015533333,3.733333333,0.3061,0.633333333,3.766666667,3.18,1,1,1,1,1,1,0,0.95,0.32,0.6
1000,Lr,5,1,0.0027,0.038,0.0007,0.006,0.05,0.036,0.89900111,1.170087977,1.37254902,1.384615385,0.903614458,1.151385928,2,0.71,0.2,0.83
1000,Lr,5,1,0.0033,0.042,0.0009,0.006,0.083,0.0426,1.098779134,1.293255132,1.764705882,1.384615385,1.5,1.362473348,1,0.69,0.18,0.72
1000,Lr,5,1,0.0038,0.045,0.00108,0.007,0.1,0.042,1.265260821,1.385630499,2.117647059,1.615384615,1.807228916,1.343283582,2,0.69,0.21,0.98
